A1	A2	A3	A4	A5	A6	A7	A8
670.688	100	140.305	67.531	68.688	210.917	126.517	432.134
702.156	88.559	134.797	62.31	68.474	204.709	121.946	433.196
671.022	83.281	135.821	63.574	66.374	221.895	126.104	438.351
662.164	80.593	132.363	61.33	64.052	223.689	127.527	439.629
678.256	73.265	137.853	61.253	65.629	224.827	128.93	444.716
583.515	61.688	133.16	67.006	66.523	225.959	131.46	452.006
531.005	58.362	127.326	68.453	67.093	220.085	132.449	456.541
570.011	59.688	129.696	67.967	67.829	207.454	130.997	458.148
523.87	63.613	131.492	66.358	69.809	205.501	132.473	456.564
453.641	66.611	131.246	62.879	69.278	198.825	122.726	454.422
497.079	67.77	127.074	63.795	70.758	194.091	124.936	465.804
545.115	70.058	123.916	65.418	70.172	184.622	121.305	465.891
493.067	67.817	124.062	67.912	72.674	191.919	125.546	471.588
523.148	65.193	130.895	65.667	72.833	189.353	130.148	475.424
492.219	59.233	130.897	64.936	72.816	193.565	133.612	478.749
532.759	53.041	126.33	64.363	73.684	195.808	131.867	474.85
588.602	51.322	117.791	60.642	72.254	205.494	136.801	482.933
632.277	55.184	119.772	62.962	73.91	217.925	142.992	489.592
644.307	56.971	118.547	67.355	72.186	216.905	147.709	494.325
640.434	61.573	122.636	69.601	71.254	214.3	139.408	488.53
617.605	69.608	119.471	70.225	73.7	208.556	145.853	497.746
619.569	67.828	123.935	70.341	72.633	208.286	144.005	502.086
585.492	69.394	122.89	70.427	73.079	206.994	145.102	501.365
593.278	73.043	122.02	69.873	72.371	202.913	144.517	506.077
570.201	82.379	120.759	70.037	72.341	213.893	146.478	519.854
571.848	96.863	118.063	69.359	71.994	205.967	144.905	512.634
613.21	120.834	115.209	69.524	72.028	210.075	146.933	521.981
619.571	111.162	120.618	72.015	73.325	216.389	153.504	528.653
596.005	104.692	124.345	71.406	72.863	211.473	151.283	521.494
592.547	100.142	124.68	72.725	72.908	220.968	155.305	532.594
632.637	91.603	122.833	74.998	72.43	226.912	158.842	526.155
630.854	86.722	122.456	73.996	69.537	228.513	156.564	525.963
