path_filename,base_filename,package
_gapport.ado,_gapport.ado,_gapport
../e/egen_apport.sthlp,egen_apport.sthlp,_gapport
_gclsort.ado,_gclsort.ado,_gclsort
../c/clsort.hlp,clsort.hlp,_gclsort
_gcut.ado,_gcut.ado,_gcut
_gcut.hlp,_gcut.hlp,_gcut
_gcut5.ado,_gcut5.ado,_gcut
_gdistinct.ado,_gdistinct.ado,_gdistinct
_gdistinct.sthlp,_gdistinct.sthlp,_gdistinct
_gprod.ado,_gprod.ado,_gprod
_gprod.hlp,_gprod.hlp,_gprod
_gprop.ado,_gprop.ado,_gprop-_gpc
_gpc.ado,_gpc.ado,_gprop-_gpc
_grmedf.ado,_grmedf.ado,_grmedf
_grmedf.hlp,_grmedf.hlp,_grmedf
_grmax.ado,_grmax.ado,_grminmax
_grmin.ado,_grmin.ado,_grminmax
_grndraw.ado,_grndraw.ado,_grndraw
_grndraw.sthlp,_grndraw.sthlp,_grndraw
_grpos.ado,_grpos.ado,_grpos
_grprod.ado,_grprod.ado,_grprod
../r/rprod.hlp,rprod.hlp,_grprod
_gslope.ado,_gslope.ado,_gslope
_gsoundex.ado,_gsoundex.ado,_gsoundex
_gvreldif.ado,_gvreldif.ado,_gvreldif
_gvreldif.sthlp,_gvreldif.sthlp,_gvreldif
_gwmean.ado,_gwmean.ado,_gwmean
_gwmean.sthlp,_gwmean.sthlp,_gwmean
../t/test_gwmean.do,test_gwmean.do,_gwmean
_gwtmean.ado,_gwtmean.ado,_gwtmean
_gwtmean.sthlp,_gwtmean.sthlp,_gwtmean
_gpeers.ado,_gpeers.ado,_peers
_gpeers.hlp,_gpeers.hlp,_peers
a2reg.ado,a2reg.ado,a2reg
a2reg.hlp,a2reg.hlp,a2reg
a2group.ado,a2group.ado,a2reg
a2group.hlp,a2group.hlp,a2reg
aaniv.ado,aaniv.ado,aaniv
aaniv.sthlp,aaniv.sthlp,aaniv
aaplot.ado,aaplot.ado,aaplot
aaplot.sthlp,aaplot.sthlp,aaplot
ab2022.ado,ab2022.ado,ab2022
ab2022.sthlp,ab2022.sthlp,ab2022
abar.ado,abar.ado,abar
abar.hlp,abar.hlp,abar
abg.ado,abg.ado,abg
abg.sthlp,abg.sthlp,abg
../l/logitrank.ado,logitrank.ado,abg
../l/logitrank.sthlp,logitrank.sthlp,abg
abrs.ado,abrs.ado,abrs
abrs.sthlp,abrs.sthlp,abrs
abrsqol.ado,abrsqol.ado,abrsqol
abrsqol.sthlp,abrsqol.sthlp,abrsqol
absdid.ado,absdid.ado,absdid
absdid.sthlp,absdid.sthlp,absdid
absdid.dta,absdid.dta,absdid
acelong.ado,acelong.ado,acelong
acelong.sthlp,acelong.sthlp,acelong
adelong.ado,adelong.ado,acelong
adelong.sthlp,adelong.sthlp,acelong
aelong.ado,aelong.ado,acelong
aelong.sthlp,aelong.sthlp,acelong
acplot.ado,acplot.ado,acplot
acplot.hlp,acplot.hlp,acplot
acreg.ado,acreg.ado,acreg
acreg.sthlp,acreg.sthlp,acreg
acregpackcheck.ado,acregpackcheck.ado,acreg
../n/nwexample.dta,nwexample.dta,acreg
actest.ado,actest.ado,actest
actest9.ado,actest9.ado,actest
actest.sthlp,actest.sthlp,actest
../l/livreg2.mlib,livreg2.mlib,actest
../c/cs_actest_1.0.15.do,cs_actest_1.0.15.do,actest
addbefore.ado,addbefore.ado,addbefore
addbefore.sthlp,addbefore.sthlp,addbefore
addinby.ado,addinby.ado,addinby
addinby.sthlp,addinby.sthlp,addinby
../f/fraddinby.ado,fraddinby.ado,addinby
../f/fraddinby.sthlp,fraddinby.sthlp,addinby
addnotes.ado,addnotes.ado,addnotes
addnotes.hlp,addnotes.hlp,addnotes
addplot.ado,addplot.ado,addplot
addplot.hlp,addplot.hlp,addplot
addplot.zip,addplot.zip,addplot
addtex.ado,addtex.ado,addtex
addtex.hlp,addtex.hlp,addtex
../h/hlTex.ado,hlTex.ado,addtex
../h/hlTex.hlp,hlTex.hlp,addtex
addtxt.ado,addtxt.ado,addtxt
addtxt.hlp,addtxt.hlp,addtxt
adecomp.ado,adecomp.ado,adecomp
adecomp.sthlp,adecomp.sthlp,adecomp
../_/_ex_adecomp.ado,_ex_adecomp.ado,adecomp
../e/exdata_adecomp.dta,exdata_adecomp.dta,adecomp
adfmaxur.ado,adfmaxur.ado,adfmaxur
adfmaxur.sthlp,adfmaxur.sthlp,adfmaxur
../r/rerdata.dta,rerdata.dta,adfmaxur
../r/rerdata_long.dta,rerdata_long.dta,adfmaxur
../u/usurates.dta,usurates.dta,adfmaxur
adftest.ado,adftest.ado,adftest
adftest.sthlp,adftest.sthlp,adftest
adjacent.ado,adjacent.ado,adjacent
adjacent.hlp,adjacent.hlp,adjacent
adjksm.ado,adjksm.ado,adjksm
adjksm.hlp,adjksm.hlp,adjksm
../l/lorobwei.ado,lorobwei.ado,adjksm
../r/robksm.ado,robksm.ado,adjksm
../_/_adjksm.ado,_adjksm.ado,adjksm
../_/_robksm.ado,_robksm.ado,adjksm
adjmean.ado,adjmean.ado,adjmean
adjmean.hlp,adjmean.hlp,adjmean
adjprop.ado,adjprop.ado,adjprop
adjprop.hlp,adjprop.hlp,adjprop
adjust.ado,adjust.ado,adjust
adjust.hlp,adjust.hlp,adjust
admetan.ado,admetan.ado,admetan
admetan.sthlp,admetan.sthlp,admetan
admetani.ado,admetani.ado,admetan
admetani.sthlp,admetani.sthlp,admetan
admetan_hlp_run.ado,admetan_hlp_run.ado,admetan
adodev.ado,adodev.ado,adodev
adodev.sthlp,adodev.sthlp,adodev
adofac.ado,adofac.ado,adodev
adofac.sthlp,adofac.sthlp,adodev
adoind.ado,adoind.ado,adodev
adoind.sthlp,adoind.sthlp,adodev
adoins.ado,adoins.ado,adodev
adoins.sthlp,adoins.sthlp,adodev
ad_update.ado,ad_update.ado,adodown
ad_pkg_meta.ado,ad_pkg_meta.ado,adodown
adodown.ado,adodown.ado,adodown
ad_publish.ado,ad_publish.ado,adodown
ad_setup.ado,ad_setup.ado,adodown
ad_command.ado,ad_command.ado,adodown
ad_sthlp.ado,ad_sthlp.ado,adodown
ad_update.sthlp,ad_update.sthlp,adodown
adodown.sthlp,adodown.sthlp,adodown
ad_publish.sthlp,ad_publish.sthlp,adodown
ad_command.sthlp,ad_command.sthlp,adodown
ad_setup.sthlp,ad_setup.sthlp,adodown
ad_sthlp.sthlp,ad_sthlp.sthlp,adodown
ad-cmd-command.ado,ad-cmd-command.ado,adodown
adoedit.ado,adoedit.ado,adoedit
adoedit.hlp,adoedit.hlp,adoedit
adoinstall.sthlp,adoinstall.sthlp,adoinstall
adoinstall.ado,adoinstall.ado,adoinstall
adolist.zip,adolist.zip,adolist
adolist.ado,adolist.ado,adolist
adolist.hlp,adolist.hlp,adolist
adostore.ado,adostore.ado,adostore
adostore.sthlp,adostore.sthlp,adostore
adorestore.ado,adorestore.ado,adostore
adorestore.sthlp,adorestore.sthlp,adostore
adotype.ado,adotype.ado,adotype
adotype.hlp,adotype.hlp,adotype
aedot.ado,aedot.ado,aedot
aedot.sthlp,aedot.sthlp,aedot
../e/example_dot.dta,example_dot.dta,aedot
aedots.ado,aedots.ado,aedot
aedots.sthlp,aedots.sthlp,aedot
../e/example_dot_summ.dta,example_dot_summ.dta,aedot
aedots2.ado,aedots2.ado,aedot
aedots2.sthlp,aedots2.sthlp,aedot
../e/example_dot_summ2.dta,example_dot_summ2.dta,aedot
aefdr.ado,aefdr.ado,aefdr
aefdr.sthlp,aefdr.sthlp,aefdr
../e/example_aefdr.dta,example_aefdr.dta,aefdr
aevolcano.ado,aevolcano.ado,aevolcano
aevolcano.sthlp,aevolcano.sthlp,aevolcano
../e/example_volcano.dta,example_volcano.dta,aevolcano
aevolcs.ado,aevolcs.ado,aevolcano
aevolcs.sthlp,aevolcs.sthlp,aevolcano
../e/example_volcano_summ.dta,example_volcano_summ.dta,aevolcano
aextlogit.ado,aextlogit.ado,aextlogit
aextlogit.sthlp,aextlogit.sthlp,aextlogit
affiliationexposure.ado,affiliationexposure.ado,affiliationexposure
affiliationexposure.sthlp,affiliationexposure.sthlp,affiliationexposure
aggind.ado,aggind.ado,aggind
aggind.sthlp,aggind.sthlp,aggind
agrm.ado,agrm.ado,agrm
agrm.hlp,agrm.hlp,agrm
aic_model_selection.ado,aic_model_selection.ado,aic_model_selection
aic_model_selection.sthlp,aic_model_selection.sthlp,aic_model_selection
ainequal.ado,ainequal.ado,ainequal
ainequal.hlp,ainequal.hlp,ainequal
airnet.ado,airnet.ado,airnet
airnet.sthlp,airnet.sthlp,airnet
akdensity.ado,akdensity.ado,akdensity
akdensity0.ado,akdensity0.ado,akdensity
akdensity.hlp,akdensity.hlp,akdensity
akdensity0.hlp,akdensity0.hlp,akdensity
albatross.ado,albatross.ado,albatross
albatross_examples.ado,albatross_examples.ado,albatross
albatross.sthlp,albatross.sthlp,albatross
albatross_examples.sthlp,albatross_examples.sthlp,albatross
alignedpairs.ado,alignedpairs.ado,alignedpairs
alignedpairs.sthlp,alignedpairs.sthlp,alignedpairs
../h/hamilton.dta,hamilton.dta,alignedpairs
alignedranks.ado,alignedranks.ado,alignedranks
alignedranks.sthlp,alignedranks.sthlp,alignedranks
alignedsets.ado,alignedsets.ado,alignedsets
alignedsets.sthlp,alignedsets.sthlp,alignedsets
../s/simdata.dta,simdata.dta,alignedsets
alignmicro.ado,alignmicro.ado,alignmicro
alignmicro.hlp,alignmicro.hlp,alignmicro
allcatplot.ado,allcatplot.ado,allcatplot
allcatplot.sthlp,allcatplot.sthlp,allcatplot
allcross.ado,allcross.ado,allcross
allcross.hlp,allcross.hlp,allcross
allpossible.ado,allpossible.ado,allpossible
allpossible.hlp,allpossible.hlp,allpossible
allsubsets.ado,allsubsets.ado,allsubsets
allsubsets.hlp,allsubsets.hlp,allsubsets
allsubsetsmeta_win.plugin,allsubsetsmeta_win.plugin,allsubsets
allsubsetsmeta_osx.plugin,allsubsetsmeta_osx.plugin,allsubsets
allsubsets_test.do,allsubsets_test.do,allsubsets
allsubsets_data.txt,allsubsets_data.txt,allsubsets
allsynth.ado,allsynth.ado,allsynth
allsynth.sthlp,allsynth.sthlp,allsynth
../s/synth_smoking.dta,synth_smoking.dta,allsynth
allsynth_walmart.dta,allsynth_walmart.dta,allsynth
alluvial.ado,alluvial.ado,alluvial
alluvial.sthlp,alluvial.sthlp,alluvial
almon.ado,almon.ado,almon
almon.sthlp,almon.sthlp,almon
almon.dlg,almon.dlg,almon
almon.dta,almon.dta,almon
almon1.ado,almon1.ado,almon1
almon1.sthlp,almon1.sthlp,almon1
almon1.dlg,almon1.dlg,almon1
almon1.dta,almon1.dta,almon1
almon2.dta,almon2.dta,almon1
almon3.dta,almon3.dta,almon1
alogit.ado,alogit.ado,alogit
alogit.sthlp,alogit.sthlp,alogit
alogit_sim.ado,alogit_sim.ado,alogit
alogit_sim.sthlp,alogit_sim.sthlp,alogit
alogit_postestimation.sthlp,alogit_postestimation.sthlp,alogit
alogit_p_fast.ado,alogit_p_fast.ado,alogit
alogit_p.ado,alogit_p.ado,alogit
alogit.mata,alogit.mata,alogit
../l/lalogit.mlib,lalogit.mlib,alogit
alogit_sample.dta,alogit_sample.dta,alogit
aloglik_fast.plugin,aloglik_fast.plugin,alogit
aloglik_faster.plugin,aloglik_faster.plugin,alogit
alorenz.ado,alorenz.ado,alorenz
alorenz.hlp,alorenz.hlp,alorenz
../_/_matchval.ado,_matchval.ado,alorenz
../_/_pecatsal.ado,_pecatsal.ado,alorenz
../_/_ebin.ado,_ebin.ado,alorenz
alphawgt.ado,alphawgt.ado,alphawgt
alphawgt.hlp,alphawgt.hlp,alphawgt
alphawgt.pdf,alphawgt.pdf,alphawgt
alsmle.ado,alsmle.ado,alsmle
alsmle.sthlp,alsmle.sthlp,alsmle
alsmle.dlg,alsmle.dlg,alsmle
alsmle.do,alsmle.do,alsmle
alsmle.dta,alsmle.dta,alsmle
../l/lamcmc.mlib,lamcmc.mlib,amcmc
../m/mf_amcmc.sthlp,mf_amcmc.sthlp,amcmc
ameta.ado,ameta.ado,ameta
ameta.sthlp,ameta.sthlp,ameta
anketest.ado,anketest.ado,anketest
anketest.hlp,anketest.hlp,anketest
anogi.ado,anogi.ado,anogi
anogi.hlp,anogi.hlp,anogi
anogi.zip,anogi.zip,anogi
anymatch.ado,anymatch.ado,anymatch
anymatch.hlp,anymatch.hlp,anymatch
anythingtodate.ado,anythingtodate.ado,anythingtodate
anythingtodate.sthlp,anythingtodate.sthlp,anythingtodate
apc_cglim.ado,apc_cglim.ado,apc
apc_cglim.hlp,apc_cglim.hlp,apc
apc_ie.ado,apc_ie.ado,apc
apc_ie.hlp,apc_ie.hlp,apc
apc_example.do,apc_example.do,apc
apc_example_data.dta,apc_example_data.dta,apc
apcd.ado,apcd.ado,apcd
apcd.sthlp,apcd.sthlp,apcd
apcgo.ado,apcgo.ado,apcgo
apcgo.sthlp,apcgo.sthlp,apcgo
apctlag.ado,apctlag.ado,apcgo
apctlag.sthlp,apctlag.sthlp,apcgo
apctlagb.ado,apctlagb.ado,apcgo
apch.ado,apch.ado,apch
apch.sthlp,apch.sthlp,apch
apoverty.ado,apoverty.ado,apoverty
apoverty.hlp,apoverty.hlp,apoverty
appendfile.ado,appendfile.ado,appendfile
appendfile.hlp,appendfile.hlp,appendfile
appmlhdfe.ado,appmlhdfe.ado,appmlhdfe
appmlhdfe.sthlp,appmlhdfe.sthlp,appmlhdfe
archlm.ado,archlm.ado,archlm
archlm.hlp,archlm.hlp,archlm
archqq.ado,archqq.ado,archqq
archqq.hlp,archqq.hlp,archqq
arcplot.ado,arcplot.ado,arcplot
arcplot.sthlp,arcplot.sthlp,arcplot
ardl.ado,ardl.ado,ardl
ardl.sthlp,ardl.sthlp,ardl
ardl_legacy.sthlp,ardl_legacy.sthlp,ardl
ardl_p.ado,ardl_p.ado,ardl
ardlbounds.ado,ardlbounds.ado,ardl
ardlbounds.sthlp,ardlbounds.sthlp,ardl
ardl_estat.ado,ardl_estat.ado,ardl
ardl_postestimation.sthlp,ardl_postestimation.sthlp,ardl
arhomme.ado,arhomme.ado,arhomme
arhomme.sthlp,arhomme.sthlp,arhomme
arimaauto.ado,arimaauto.ado,arimaauto
../l/larimaauto.mlib,larimaauto.mlib,arimaauto
arimaauto.sthlp,arimaauto.sthlp,arimaauto
arimafit.ado,arimafit.ado,arimafit
arimafit.hlp,arimafit.hlp,arimafit
arimasel.ado,arimasel.ado,arimasel
arimasel.sthlp,arimasel.sthlp,arimasel
armadiag.ado,armadiag.ado,armadiag
armadiag.hlp,armadiag.hlp,armadiag
armaroots.ado,armaroots.ado,armaroots
armaroots.hlp,armaroots.hlp,armaroots
array.zip,array.zip,array
arrowplot.ado,arrowplot.ado,arrowplot
arrowplot.sthlp,arrowplot.sthlp,arrowplot
art.sthlp,art.sthlp,art
artbin.ado,artbin.ado,art
art2bin.ado,art2bin.ado,art
artbin.sthlp,artbin.sthlp,art
artbin.dlg,artbin.dlg,art
artbindlg.sthlp,artbindlg.sthlp,art
artformatnos.ado,artformatnos.ado,art
artmenu.ado,artmenu.ado,art
artmenu.sthlp,artmenu.sthlp,art
artpep.ado,artpep.ado,art
artpep.sthlp,artpep.sthlp,art
artpep.dlg,artpep.dlg,art
artpepdlg.sthlp,artpepdlg.sthlp,art
artsurv.ado,artsurv.ado,art
artsurv.sthlp,artsurv.sthlp,art
artsurv.dlg,artsurv.dlg,art
artsurvdlg.sthlp,artsurvdlg.sthlp,art
artwhatsnew.sthlp,artwhatsnew.sthlp,art
artbin_whatsnew.sthlp,artbin_whatsnew.sthlp,art
../_/_artset.idlg,_artset.idlg,art
artbin_examples.do,artbin_examples.do,art
artbin.ado,artbin.ado,artbin
art2bin.ado,art2bin.ado,artbin
artformatnos.ado,artformatnos.ado,artbin
artbin.sthlp,artbin.sthlp,artbin
artbin_whatsnew.sthlp,artbin_whatsnew.sthlp,artbin
artbin.dlg,artbin.dlg,artbin
artbindlg.sthlp,artbindlg.sthlp,artbin
artbin_examples.do,artbin_examples.do,artbin
artcat.ado,artcat.ado,artcat
artcat.sthlp,artcat.sthlp,artcat
artcat_check_errormsgs.do,artcat_check_errormsgs.do,artcat
artcat_examples.do,artcat_examples.do,artcat
artcat_test.do,artcat_test.do,artcat
artcat_test_consistency.do,artcat_test_consistency.do,artcat
artcat_compare_with_Whitehead.do,artcat_compare_with_Whitehead.do,artcat
artcat_compare_with_power.do,artcat_compare_with_power.do,artcat
artcat_compare_with_dani.do,artcat_compare_with_dani.do,artcat
artcat_compare_with_artbin.do,artcat_compare_with_artbin.do,artcat
ascii.ado,ascii.ado,ascii
ascii.hlp,ascii.hlp,ascii
asciiplot.ado,asciiplot.ado,asciiplot
asciiplot.sthlp,asciiplot.sthlp,asciiplot
ascol.ado,ascol.ado,ascol
ascol.sthlp,ascol.sthlp,ascol
ascvd.ado,ascvd.ado,ascvd
ascvd.sthlp,ascvd.sthlp,ascvd
ascvdi.ado,ascvdi.ado,ascvd
ascvdi.sthlp,ascvdi.sthlp,ascvd
../e/example_ascvd.dta,example_ascvd.dta,ascvd
asdoc.ado,asdoc.ado,asdoc
asdoc.sthlp,asdoc.sthlp,asdoc
../l/lasdoc.mlib,lasdoc.mlib,asdoc
asgen.ado,asgen.ado,asgen
asgen.sthlp,asgen.sthlp,asgen
../l/lasgen.mlib,lasgen.mlib,asgen
ashell.ado,ashell.ado,ashell
ashell.hlp,ashell.hlp,ashell
asl_norm.ado,asl_norm.ado,asl_norm
asl_norm.sthlp,asl_norm.sthlp,asl_norm
asl_norm_ex.ado,asl_norm_ex.ado,asl_norm
asreg.ado,asreg.ado,asreg
asreg.sthlp,asreg.sthlp,asreg
../l/lasreg.mlib,lasreg.mlib,asreg
asrol.ado,asrol.ado,asrol
asrol.sthlp,asrol.sthlp,asrol
../l/lasrol.mlib,lasrol.mlib,asrol
assertky.ado,assertky.ado,assertky
assertky.hlp,assertky.hlp,assertky
astile.ado,astile.ado,astile
astile.sthlp,astile.sthlp,astile
../l/lasn.mlib,lasn.mlib,astile
astx.ado,astx.ado,astx
astx.sthlp,astx.sthlp,astx
attregtest.ado,attregtest.ado,attregtest
attregtest.sthlp,attregtest.sthlp,attregtest
audit_cc.ado,audit_cc.ado,audit_cc
audit_cc.sthlp,audit_cc.sthlp,audit_cc
../e/Examples_audit_cc.do,Examples_audit_cc.do,audit_cc
auditdata.dta,auditdata.dta,audit_cc
autofill.ado,autofill.ado,autofill
autofill.sthlp,autofill.sthlp,autofill
autofmt.ado,autofmt.ado,autofmt
autofmt.hlp,autofmt.hlp,autofmt
autolog.ado,autolog.ado,autolog
autolog.hlp,autolog.hlp,autolog
autorename.ado,autorename.ado,autorename
autorename.hlp,autorename.hlp,autorename
autosum.ado,autosum.ado,autosum
autosum.sthlp,autosum.sthlp,autosum
avar.ado,avar.ado,avar
avar9.ado,avar9.ado,avar
avar.sthlp,avar.sthlp,avar
../l/livreg2.mlib,livreg2.mlib,avar
../c/cs_avar_1.0.06.do,cs_avar_1.0.06.do,avar
avciplot.ado,avciplot.ado,avciplot
avciplot.sthlp,avciplot.sthlp,avciplot
avciplots.ado,avciplots.ado,avciplot
avciplots.sthlp,avciplots.sthlp,avciplot
../t/test_avciplot.do,test_avciplot.do,avciplot
avciplot_sj.pdf,avciplot_sj.pdf,avciplot
avg_effect.ado,avg_effect.ado,avg_effect
avg_effect.hlp,avg_effect.hlp,avg_effect
avplot2.ado,avplot2.ado,avplot2
avplot2.hlp,avplot2.hlp,avplot2
avplots2.ado,avplots2.ado,avplot2
avplots2.hlp,avplots2.hlp,avplot2
avplot3.ado,avplot3.ado,avplot3
avplot3.hlp,avplot3.hlp,avplot3
../k/keyplot.ado,keyplot.ado,avplot3
../k/keyplot.hlp,keyplot.hlp,avplot3
avplots4.ado,avplots4.ado,avplots4
avplots4.hlp,avplots4.hlp,avplots4
avplots4_7.ado,avplots4_7.ado,avplots4
b1x2.ado,b1x2.ado,b1x2
b1x2.sthlp,b1x2.sthlp,b1x2
babibplot.ado,babibplot.ado,babibplot
babibplot.sthlp,babibplot.sthlp,babibplot
backrasch.ado,backrasch.ado,backrasch
backrasch.hlp,backrasch.hlp,backrasch
WIN64 backup.ado,WIN64 backup.ado,backup
backup.sthlp,backup.sthlp,backup
bacon.sthlp,bacon.sthlp,bacondecomp
baconde.ado,baconde.ado,bacondecomp
bac.sthlp,bac.sthlp,bacondecomp
bacondecomp.sthlp,bacondecomp.sthlp,bacondecomp
ba.sthlp,ba.sthlp,bacondecomp
b.sthlp,b.sthlp,bacondecomp
baconde.sthlp,baconde.sthlp,bacondecomp
bacondec.ado,bacondec.ado,bacondecomp
bacond.sthlp,bacond.sthlp,bacondecomp
bacondecom.ado,bacondecom.ado,bacondecomp
bacondecomp.ado,bacondecomp.ado,bacondecomp
bacondecom.sthlp,bacondecom.sthlp,bacondecomp
bacon_example.dta,bacon_example.dta,bacondecomp
ba.ado,ba.ado,bacondecomp
baco.ado,baco.ado,bacondecomp
bacon.ado,bacon.ado,bacondecomp
baco.sthlp,baco.sthlp,bacondecomp
bac.ado,bac.ado,bacondecomp
b.ado,b.ado,bacondecomp
bacondeco.sthlp,bacondeco.sthlp,bacondecomp
bacondec.sthlp,bacondec.sthlp,bacondecomp
bacondeco.ado,bacondeco.ado,bacondecomp
baing.ado,baing.ado,baing
baing.sthlp,baing.sthlp,baing
balancetable.ado,balancetable.ado,balancetable
balancetable.sthlp,balancetable.sthlp,balancetable
bandplot.ado,bandplot.ado,bandplot
bandplot.hlp,bandplot.hlp,bandplot
bandplottest.do,bandplottest.do,bandplot
bap.ado,bap.ado,bap
bap.sthlp,bap.sthlp,bap
baplot.ado,baplot.ado,baplot
baplot.hlp,baplot.hlp,baplot
badiag.ado,badiag.ado,baplot
badiag.hlp,badiag.hlp,baplot
barplot.ado,barplot.ado,barplot
barplot.hlp,barplot.hlp,barplot
barplot2.ado,barplot2.ado,barplot2
barplot2.hlp,barplot2.hlp,barplot2
basetable.ado,basetable.ado,basetable
basetable.sthlp,basetable.sthlp,basetable
../l/ltoxl_v13.mata,ltoxl_v13.mata,basetable
../l/ltoxl_v14.mata,ltoxl_v14.mata,basetable
../l/lbasetable.mlib,lbasetable.mlib,basetable
../l/ltodocx_v13.mata,ltodocx_v13.mata,basetable
../l/lbasetable.mata,lbasetable.mata,basetable
../l/lmatrixtools.mata,lmatrixtools.mata,basetable
../l/lmatrixtools.mlib,lmatrixtools.mlib,basetable
basetable_example_data.ado,basetable_example_data.ado,basetable
batplot.ado,batplot.ado,batplot
batplot.sthlp,batplot.sthlp,batplot
batplot.do,batplot.do,batplot
bayerhanck.ado,bayerhanck.ado,bayerhanck
bayerhanck.sthlp,bayerhanck.sthlp,bayerhanck
../n/NullDistr.dta,NullDistr.dta,bayerhanck
bayesmixedlogit.ado,bayesmixedlogit.ado,bayesmixedlogit
bayesmixedlogit.sthlp,bayesmixedlogit.sthlp,bayesmixedlogit
bayesmixedlogitwtp.ado,bayesmixedlogitwtp.ado,bayesmixedlogitwtp
bayesmixedlogitwtp.sthlp,bayesmixedlogitwtp.sthlp,bayesmixedlogitwtp
bayesmlogit.ado,bayesmlogit.ado,bayesmlogit
bayesmlogit.sthlp,bayesmlogit.sthlp,bayesmlogit
bcii.ado,bcii.ado,bcii
bcii.sthlp,bcii.sthlp,bcii
bcib.ado,bcib.ado,bcii
bcib.sthlp,bcib.sthlp,bcii
bcoeff.ado,bcoeff.ado,bcoeff
bcoeff.hlp,bcoeff.hlp,bcoeff
bcoeffs.ado,bcoeffs.ado,bcoeffs
bcoeffs.sthlp,bcoeffs.sthlp,bcoeffs
bcss.ado,bcss.ado,bcss
bcss.sthlp,bcss.sthlp,bcss
bcstats.ado,bcstats.ado,bcstats
bcstats.sthlp,bcstats.sthlp,bcstats
bctobit.ado,bctobit.ado,bctobit
bctobit.sthlp,bctobit.sthlp,bctobit
../s/smoking.do,smoking.do,bctobit
../s/smoking.dta,smoking.dta,bctobit
bcuse.ado,bcuse.ado,bcuse
bcuse.sthlp,bcuse.sthlp,bcuse
bdiff.ado,bdiff.ado,bdiff
bdiff.sthlp,bdiff.sthlp,bdiff
beamplot.ado,beamplot.ado,beamplot
beamplot.hlp,beamplot.hlp,beamplot
benford.ado,benford.ado,benford
benford.hlp,benford.hlp,benford
betacoef.ado,betacoef.ado,betacoef
betacoef.hlp,betacoef.hlp,betacoef
betafit.ado,betafit.ado,betafit
betafit.hlp,betafit.hlp,betafit
betafit_postestimation.hlp,betafit_postestimation.hlp,betafit
betafit_ex.ado,betafit_ex.ado,betafit
../d/dbetafit.ado,dbetafit.ado,betafit
../d/dbetafit.hlp,dbetafit.hlp,betafit
