package,version,version_date,proxied
_gapport,1.2.1,2026-04-07T07:57:29Z,
_gclsort,1.4,2026-04-07T07:57:29Z,
_gcut,,2026-04-07T07:57:29Z,
_gdistinct,1.0,2026-04-07T07:57:29Z,
_gprod,19990804,2026-04-07T07:57:29Z,
_gprop-_gpc,,2026-04-07T07:57:29Z,
_grmedf,20000217,2026-04-07T07:57:29Z,
_grminmax,,2026-04-07T07:57:29Z,
_grndraw,1.0,2026-04-07T07:57:29Z,
_grpos,1.0.0,2026-04-07T07:57:29Z,
_grprod,1.0.0,2026-04-07T07:57:29Z,
_gslope,1.1.0,2026-04-07T07:57:29Z,
_gsoundex,,2026-04-07T07:57:29Z,
_gstd01,,2026-04-07T07:57:29Z,
_gvreldif,20101110,2026-04-07T07:57:29Z,
_gwmean,20210331,2026-04-07T07:57:29Z,
_gwtmean,2.0.0,2026-04-07T07:57:29Z,
_peers,20080625,2026-04-07T07:57:29Z,
a2reg,20080611,2026-04-07T07:57:29Z,
aaniv,1.1.0,2026-04-07T07:57:29Z,
aaplot,1.0.3,2026-04-07T07:57:29Z,
aardl,1.2.0,2026-04-07T07:57:29Z,
ab2022,0.93,2026-04-07T07:57:29Z,
abar,1.1.5,2026-04-07T07:57:29Z,
abg,20141116,2026-04-07T07:57:29Z,
abrs,0.9,2026-04-07T07:57:29Z,
abrsqol,0.9,2026-04-07T07:57:29Z,
absdid,2.0,2026-04-07T07:57:29Z,
acelong,1.4,2026-04-07T07:57:29Z,
acplot,1.2.0,2026-04-07T07:57:29Z,
acreg,20201220,2026-04-07T07:57:29Z,
actest,2.0.16,2026-04-07T07:57:29Z,
ad-src-package,,2026-04-07T07:57:29Z,
addbefore,20171113,2026-04-07T07:57:29Z,
addinby,20200414,2026-04-07T07:57:29Z,
addnotes,1.4,2026-04-07T07:57:29Z,
addplot,1.0.2,2026-04-07T07:57:29Z,
addtex,,2026-04-07T07:57:29Z,
addtxt,1.0.1,2026-04-07T07:57:29Z,
adecomp,1.5,2026-04-07T07:57:29Z,
adfmaxur,1.0,2026-04-07T07:57:29Z,
adftest,1.0.0,2026-04-07T07:57:29Z,
adjacent,1.1.0,2026-04-07T07:57:29Z,
adjksm,3.0.1,2026-04-07T07:57:29Z,
adjmean,2.0.3,2026-04-07T07:57:29Z,
adjprop,2.0.4,2026-04-07T07:57:29Z,
adjust,1.3.0,2026-04-07T07:57:29Z,
admetan,3.2,2026-04-07T07:57:29Z,
adodev,20171113,2026-04-07T07:57:29Z,
adodown,0.4,2026-04-07T07:57:29Z,
adoedit,1.0.2,2026-04-07T07:57:29Z,
adoinstall,0.1,2026-04-07T07:57:29Z,
adolist,1.1.0,2026-04-07T07:57:29Z,
adostore,20171113,2026-04-07T07:57:29Z,
adotype,1.2.3,2026-04-07T07:57:29Z,
adtest,1.1.0,2026-04-07T07:57:29Z,
aedot,1.3,2026-04-07T07:57:29Z,
aefdr,20200222,2026-04-07T07:57:29Z,
aevolcano,20200222,2026-04-07T07:57:29Z,
aextlogit,20200430,2026-04-07T07:57:29Z,
affiliationexposure,20110618,2026-04-07T07:57:29Z,
aformat,20010605,2026-04-07T07:57:29Z,
aggind,20181027,2026-04-07T07:57:29Z,
agrm,1.1.2,2026-04-07T07:57:29Z,
